Recursion step 0:
Partitions:
0; 1; 
2; 3; 
4; 5; 
6; 7; 
8; 9; 
10; 11; 
12; 13; 
14; 15; 
16; 17; 
18; 19; 
20; 21; 
22; 23; 
24; 25; 
26; 27; 
28; 29; 
30; 31; 
32; 33; 
34; 35; 
36; 37; 
38; 39; 
40; 41; 
42; 43; 
44; 45; 
46; 47; 
48; 49; 
50; 51; 
52; 53; 
54; 55; 
56; 57; 
58; 59; 
60; 61; 
62; 63; 
64; 65; 
66; 67; 
68; 69; 
70; 71; 
72; 73; 
74; 75; 
76; 77; 
78; 79; 
80; 81; 
82; 83; 
84; 85; 
86; 87; 
88; 89; 
90; 91; 
92; 93; 
94; 95; 
96; 97; 
98; 99; 
100; 101; 
102; 103; 
104; 105; 
106; 107; 
108; 109; 
110; 111; 
112; 113; 
114; 115; 
116; 117; 
118; 119; 
Recursion step 1:
Partitions:
0; 38; 
1; 13; 
2; 5; 
3; 4; 
6; 25; 
7; 14; 
8; 9; 
10; 11; 
12; 58; 
15; 37; 
16; 45; 
17; 18; 
19; 28; 
20; 21; 
22; 39; 
23; 35; 
24; 59; 
26; 27; 
29; 30; 
31; 41; 
32; 34; 
33; 49; 
36; 52; 
40; 46; 
42; 43; 
44; 55; 
47; 48; 
50; 51; 
53; 56; 
54; 57; 
Recursion step 2:
Partitions:
0; 23; 
1; 3; 
2; 19; 
4; 7; 
5; 18; 
6; 14; 13; 
8; 10; 
9; 24; 
11; 12; 
15; 22; 
16; 20; 
17; 26; 25; 
21; 28; 
27; 29; 
Recursion step 3:
